"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AB019441.29",37.6223164823778,-0.402186939902663,0.367734059711868,-1.09368966317069,0.274091109345208,0.527044227359003
"ABAT",531.463587537122,0.0561748465492386,0.258031953187536,0.217705000699704,0.827658967137605,0.931807650928258
"ABC12-47964100C23.1",0.324285043602782,-0.419128891267103,4.09189526487327,-0.102429036946546,0.918416136726048,NA
"ABC13-48559800H2.1",16.793724362222,-0.267087607306329,0.668712210606757,-0.399405907459034,0.689594141836337,0.85625238609353
"ABC14-864958H18.2",44.6818658674074,-0.198112176902754,0.355923429710413,-0.556614598437485,0.577790777431966,0.784232506322506
"ABC7-42404400C24.1",8.40645962617971,0.534214311015244,1.23671771033503,0.43196139794143,0.665769469393437,0.841458634927816
"ABC7-42418200C9.1",0.783002186198165,0.928346784951337,2.05772666904747,0.451151651439243,0.651880253107031,NA
"ABC7-481722F1.1",0.0316236612398714,0,4.1058718283696,0,1,NA
"ABCA1",431.077190945817,0.734397508913831,0.235922059594596,3.1128818991145,0.00185270140117831,0.0228128941706594
"ABCA10",92.8891943207306,-0.387622016342743,0.435005932318474,-0.891072943021292,0.372890039262964,0.628095350351518
"ABCA11P",149.304088413518,-0.332876518229527,0.202569533161194,-1.64327040219144,0.100326999258966,0.296915573285187
"ABCA12",16.0242922088554,-1.28029332711205,0.540655734227275,-2.36803800655493,0.0178826987602334,0.10289349880148
"ABCA13",21.8310901399533,0.171742902622888,0.553860058590391,0.310083567065632,0.756497408377685,0.893235942156748
"ABCA17P",7.60294228279892,-0.782738843278264,0.792372355915427,-0.987842189893118,0.323229941480524,0.580533051697544
"ABCA2",1516.15922330187,-0.382747462617112,0.204084963869172,-1.87543195422506,0.060733322545528,0.218738470193387
"ABCA3",148.979713077041,0.377163007890446,0.370520476457908,1.01792756906727,0.308712378802276,0.565363597726897
"ABCA4",20.4154567752329,0.410286873524452,0.616749901034711,0.665240274600969,0.505896824421003,0.733229389419317
"ABCA5",281.230401282138,0.316004860491759,0.242211582916163,1.30466452795999,0.192007105170703,0.432508803363614
"ABCA6",42.1011150321743,0.875710572787189,0.412890244169002,2.12092822524707,0.0339278429863508,0.153490577235775
"ABCA7",1272.82437505391,-1.07120072527989,0.308276491956792,-3.47480509616681,0.000511224645857868,0.00939327328653034
"ABCA8",51.5458305117766,1.43362110806287,0.599030650872192,2.39323498050643,0.0167005414960452,0.0988344956575781
"ABCA9",125.661289817265,0.0841558904856243,0.300675130781859,0.279889760974877,0.779562082960916,0.906382069263864
"ABCB1",16.2929533875051,-0.918969387411637,0.771935734632813,-1.19047395551492,0.233860160627586,0.483078217212871
"ABCB10",409.517294089724,-0.0163785481111125,0.219506274660432,-0.0746153982907758,0.940520722212905,0.977156183521399
"ABCB10P1",0.0862287346011009,-0.71043460492626,4.1058718283696,-0.173028928964002,0.862628688544344,NA
"ABCB11",4.32004945208529,1.2771888836362,1.48673367961352,0.859056938811132,0.390309103034735,NA
"ABCB4",36.913867240441,-0.270219381652114,0.612957028634319,-0.440845555281694,0.659324811176851,0.837739572591442
"ABCB5",5.64775272055899,-0.300488086594355,0.831307334275124,-0.361464495987362,0.717752241442128,NA
"ABCB6",691.067090171464,-0.522174682054519,0.229702649602664,-2.27326364305231,0.0230102970781361,0.120481915501121
"ABCB7",527.529081909639,0.22309204497658,0.209138091765542,1.06672124189926,0.286097732075902,0.540162421231297
"ABCB8",442.78848770459,-0.280459766018052,0.149952141784217,-1.87032851069001,0.0614382126989833,0.220196728201053
"ABCB9",180.312827446442,-0.0998152496790409,0.229515173547752,-0.434896081754148,0.663637858808343,0.839949828437455
"ABCC1",982.005160781719,-0.335162277768464,0.167008248786893,-2.00686062037655,0.0447645059374835,0.18119828675979
"ABCC10",593.119690482775,-0.380076847909871,0.235386271201249,-1.61469420442502,0.10637693324136,0.307546087830143
"ABCC11",3.15944290716718,0.0687064885648442,1.07501157166807,0.063912324644314,0.94904003869698,NA
"ABCC12",0.425661176871555,-0.426570104878021,2.65182092450107,-0.160859317813204,0.872204204634887,NA
"ABCC13",3.80211128798013,0.845719647011526,1.04880882416204,0.80636206287378,0.420034114706694,NA
"ABCC2",47.19108681822,-1.20095711585202,0.479324648786073,-2.50551921102646,0.0122271755808554,0.0799653523671853
"ABCC3",2012.86481946275,-0.916381644490531,0.306668956567792,-2.98817870170682,0.00280645408146215,0.0303414416164177
"ABCC4",142.702232591068,-0.32119121430963,0.366027155093081,-0.87750651786464,0.380211580179487,0.63427270462343
