HIO1,HIO2,HIO3,HIO4,HIO5,HIO6,HIO7,HIO8,HIO9,HIO10,HIO11,HIO12,HIO13,HIO14,HIO15,treatment,hr,,,,,,,,,,
0.3076369055,0,0.435764029,0.8117523222,0.7897490205,0,0.1288430645,0.6366107355,0.6449179473,,,,,,,TNF&IFN,18,,,,,,,,,,
0.3048173081,0,0.4327374118,0.8185812245,0.7997362607,0,0.1304040493,0.6434412715,0.6490847227,,,,,,,TNF&IFN,18.1666666667,,,,,,,,,,
0.2979608962,0,0.4188477647,0.7903182381,0.7725080368,0,0.117404291,0.6189807493,0.6332460203,,,,,,,TNF&IFN,18.3333333333,,,,,,,,,,
0.2958264326,0,0.4195340254,0.8067186948,0.7832950352,0,0.1198943104,0.6265253055,0.6396829117,,,,,,,TNF&IFN,18.5,,,,,,,,,,
0.2839148461,0,0.4089816856,0.795297083,0.7714379682,0,0.116741739,0.6162933515,0.6328572035,,,,,,,TNF&IFN,18.6666666667,,,,,,,,,,
0.2730962338,0,0.4111518107,0.8050499345,0.778132977,0,0.1180004936,0.6310959616,0.6392357289,,,,,,,TNF&IFN,18.8333333333,,,,,,,,,,
0.2717289933,0,0.3950895049,0.7852016372,0.7503428665,0,0.104886428,0.6008229679,0.6246092754,,,,,,,TNF&IFN,19,,,,,,,,,,
0.2667814659,0,0.4131933356,0.8074908678,0.7792336175,0,0.1170116002,0.6340259073,0.6384676492,,,,,,,TNF&IFN,19.1666666667,,,,,,,,,,
0.2791717678,0,0.4101258154,0.8002372902,0.7714220723,0,0.1160762819,0.6332706958,0.6318385775,,,,,,,TNF&IFN,19.3333333333,,,,,,,,,,
0.2799869263,0,0.4139168709,0.8102958149,0.7696051149,0,0.1109127348,0.6066998145,0.6175148866,,,,,,,TNF&IFN,19.5,,,,,,,,,,
0.2613067139,0,0.3945336091,0.7862193443,0.7480644037,0,0.1048172602,0.6163149527,0.6261477914,,,,,,,TNF&IFN,19.6666666667,,,,,,,,,,
