"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ANXA10",6243.78623521746,-0.426023051864044,0.529675643748854,-0.80430931059772,0.421218361870487,0.70584591432872
"ANXA11",2444.01728777006,-0.123837998881669,0.30672926154464,-0.403737153273349,0.686406015584617,0.877041347571992
"ANXA13",342.548152531858,0.321955042682886,0.792302616465262,0.406353628010519,0.684482786830849,0.875940540416226
"ANXA2",18615.6637629801,0.465830503755931,0.237659101809232,1.96007853353688,0.0499866118547538,0.239655804802025
"ANXA2P1",4.79205800238469,-0.437553991362106,0.669782386045871,-0.653277841397489,0.513577175015612,0.771612627630151
"ANXA2P2",4.80858773894228,0.370171473869291,0.75893135911752,0.487753562192665,0.625724407688294,0.843272054588404
"ANXA2P3",0.69502954640988,1.08903796743439,1.82813288130196,0.595710508012306,0.55136863715096,NA
"ANXA2R",16.9508586106905,0.867582239508023,0.416534927676681,2.08285591882333,0.0372643586994046,0.20229284255597
"ANXA3",1001.06189355341,0.113416279657218,0.284562727322568,0.398563370278125,0.690214956161763,0.8792252994052
"ANXA4",6538.76233109607,0.338673002101275,0.261023861633637,1.29747908862303,0.1944663956287,0.491235150344225
"ANXA5",6778.44586131593,0.439603995836219,0.111692465791055,3.93584287644428,8.29052037831951e-05,0.00461754881429693
"ANXA6",1731.74641425546,0.0185062279793033,0.240871399067227,0.0768303254390875,0.938758525820894,0.981111809270075
"ANXA7",1095.77254237838,0.398425679551355,0.181063430174462,2.20047570714559,0.0277731616486709,0.169258898409678
"ANXA8",61.3211189085538,0.827805240775314,0.630849379175387,1.31220742716332,0.189450156557973,0.484531962182854
"ANXA8L1",35.8921294952613,1.26823887534111,0.704104180007183,1.80120912693371,0.07166992435953,0.293417468878605
"ANXA9",159.777874319353,0.103381482437776,0.282695603749331,0.365698939306625,0.714589737697463,0.891453306970787
"AOAH",39.0012837152268,-1.42187697925739,0.92546182996494,-1.53639721619989,0.124440989103872,0.394387371936208
"AOC1",187.558065923449,0.100142378327973,0.55892639686328,0.179169169482738,0.857804871168055,0.953459254883824
"AOC2",22.0626751799625,-0.626124303829799,0.3563997368043,-1.75680349666926,0.0789513088899259,0.309780697417491
"AOC3",16.4042490994493,-0.79973237082269,0.512691707502125,-1.55986991620959,0.118790625006438,0.386048027194974
"AOC4P",1.76517598510861,-2.97123665491954,1.33819109660392,-2.22033808359657,0.0263958265945929,NA
"AOX1",49.0089762599501,-0.237859981646412,0.523647801333745,-0.454236570917659,0.649658563681509,0.855885945825843
"AOX2P",1.75504438108505,0.355876175583817,1.13097354482686,0.314663572115912,0.753017105457812,NA
"AOX3P",0.0517066463408986,0,5.88638648009261,0,1,NA
"AP000275.65",37.0843082211217,1.05753396875605,0.652602257961748,1.62048775629281,0.105127542318876,0.360345644044445
"AP000281.1",1.52807010932748,1.03763731797588,1.11284347706534,0.932419823057433,0.351119604196329,NA
"AP000295.9",8.37980978475591,-0.0462837402620895,2.33907526771043,-0.0197871957781819,0.984213132173987,0.994495992204035
"AP000304.12",115.934972046626,0.0564729184359972,0.242255878270375,0.233112685806407,0.815673904394873,0.935749582290611
"AP000322.53",3.73030514524232,1.1614529166676,1.21719515288772,0.954204355737141,0.339980210271187,0.640617998476422
"AP000343.1",0.0974623373136201,-0.703430960603165,5.88638648009261,-0.119501321053608,0.904878193487802,NA
"AP000344.4",10.4741975975404,-0.782054445426209,0.746138858551113,-1.04813525855608,0.29457629364029,0.596286249389854
"AP000347.2",154.785709693577,-0.579886919307317,0.249312072142799,-2.32594801496485,0.0200213241177713,0.139721813429918
"AP000347.4",43.2949500917071,-1.00370192566123,0.363370345523864,-2.76220098317107,0.00574131243022296,0.0654031966668659
"AP000349.1",21.4059101310256,-0.345495814413185,0.499273158252874,-0.691997574278161,0.488938852332475,0.75524737594919
"AP000349.2",21.4059101310256,-0.345495814413185,0.499273158252874,-0.691997574278161,0.488938852332475,0.75524737594919
"AP000350.10",26.3167728104858,0.44976265919457,0.690086335191349,0.651748391844129,0.514563499200334,0.772305032371397
"AP000350.6",1.32163849798732,-0.557867024453998,1.06893809993468,-0.521888989164187,0.601747625133699,NA
"AP000350.7",0.185079294915666,0,5.88638648009119,0,1,NA
"AP000350.8",0.0309686964290123,0,5.88638648009261,0,1,NA
"AP000351.13",1.13078322934386,-0.204500086622472,1.40473912000786,-0.14557869408615,0.884253988431393,NA
"AP000351.3",0.243167803611377,1.18235206768648,5.8858563124465,0.200880212652528,0.840792240347255,NA
"AP000351.4",0.0243979421297519,0,5.88638648009261,0,1,NA
"AP000354.2",0.358610518095543,0.636552795441258,2.70539244349744,0.23529037237139,0.813983367129225,NA
"AP000357.4",0.124663044737592,0,5.88638648009102,0,1,NA
"AP000436.4",0.659635934501857,-0.703491519738729,1.95789918478978,-0.359309368533325,0.719363666591999,NA
"AP000445.1",0.0307280465847681,0,5.88638648009261,0,1,NA
"AP000568.2",0.780201947641677,-0.769740503919099,1.19132122307503,-0.646123387218982,0.518199450419509,NA
"AP000580.1",18.6951662712211,0.104645368522311,0.368029313116616,0.284339765319598,0.77615001485325,0.918537060455396
"AP000593.6",0.12593691548634,-0.126421326119194,5.88638648009261,-0.0214768986961259,0.982865231382395,NA
"AP000619.5",1.42557978451292,-0.766684858602983,1.61218085161596,-0.475557601266942,0.63438958740204,NA
"AP000620.1",0.266744160855387,-0.12642343001315,3.59619453415808,-0.0351547806472454,0.971956319739341,NA
"AP000647.3",0.293881022083048,-0.126422655948404,3.10356150203629,-0.0407347029744556,0.967507395572736,NA
"AP000654.5",0.622815261226896,-1.45413094403294,2.71044256935272,-0.53649206977302,0.591618515209495,NA
"AP000662.9",1.35956151389005,-0.868612501128404,1.13572970459441,-0.76480565544299,0.444387279628655,NA
"AP000687.1",0.773197362847764,0,5.2623423866595,0,1,NA
"AP000705.6",0.0244114980497545,0.59487898078993,5.88638648009261,0.101060129640107,0.919502727891909,NA
"AP000705.8",0.664435850152775,-1.98582994186068,1.65704120524904,-1.19841916759229,0.230753874105816,NA
"AP000721.4",0.114293688064245,0,5.88638648008645,0,1,NA
"AP000769.1",673.396506602783,-0.237377304051714,0.273682637766446,-0.867345133724872,0.385752934183775,0.679265625019893
