"","x"
"557","EMC2"
"558","EML2"
"559","EMP3"
"560","ENKUR"
"561","ENO1"
"562","ENO2"
"563","ENPP7"
"564","ENTPD2"
"565","ENTPD8"
"566","EPAS1"
"567","EPB41L1"
"568","EPCAM"
"569","EPHX2"
"570","EPS8L1"
"571","EPSTI1"
"572","ERBB2"
"573","ERGIC1"
"574","ERICH4"
"575","ERO1A"
"576","ERO1B"
"577","ERP27"
"578","ERP44"
"579","ERRFI1"
"580","ESPN"
"581","ESPNP"
"582","ESYT2"
"583","ETFA"
"584","ETS2"
"585","ETV4"
"586","EVX1"
"587","EXOC3L4"
"588","EZR"
"589","F10"
"590","F2"
"591","F2RL1"
"592","F7"
"593","FA2H"
"594","FABP1"
"595","FABP2"
"596","FABP3"
"597","FABP4"
"598","FABP6"
"599","FADS6"
"600","FAHD2P1"
"601","FAM107B"
"602","FAM109B"
"603","FAM114A1"
"604","FAM117A"
"605","FAM127B"
"606","FAM131C"
"607","FAM13A"
"608","FAM149A"
"609","FAM153A"
"610","FAM153C"
"611","FAM160A1"
"612","FAM162A"
"613","FAM167B"
"614","FAM177A1"
"615","FAM177B"
"616","FAM200B"
"617","FAM210A"
"618","FAM213B"
"619","FAM219A"
"620","FAM221A"
"621","FAM222B"
"622","FAM231D"
"623","FAM3B"
"624","FAM46A"
"625","FAM46C"
"626","FAM47E-STBD1"
"627","FAM60A"
"628","FAM65C"
"629","FAM69B"
"630","FBLIM1"
"631","FBXL8"
"632","FBXO2"
"633","FBXO32"
"634","FBXO34"
"635","FBXO46"
"636","FBXO6"
"637","FCER1G"
"638","FCGR2A"
"639","FCHO1"
"640","FDPS"
"641","FEM1C"
"642","FER1L4"
"643","FGA"
"644","FGB"
"645","FGD4"
"646","FGF11"
"647","FGF7"
"648","FGFR2"
"649","FHL2"
"650","FHL3"
"651","FILIP1L"
"652","FKBP11"
"653","FKBP9"
"654","FKBP9P1"
"655","FLRT3"
"656","FLVCR1"
"657","FMNL2"
"658","FMO1"
"659","FMO5"
"660","FN3K"
"661","FNDC11"
"662","FOS"
"663","FOSB"
"664","FOSL2"
"665","FOXA3"
"666","FOXH1"
"667","FOXN2"
"668","FOXO3"
"669","FOXO4"
"670","FREM2"
"671","FRMD1"
"672","FRMD3"
"673","FRMPD2"
"674","FRY"
"675","FRZB"
"676","FSBP"
"677","FST"
"678","FUNDC1"
"679","FUNDC2"
"680","FUNDC2P1"
"681","FUOM"
"682","FUT11"
"683","FUT2"
"684","FXR1"
"685","GABPB2"
"686","GABRE"
"687","GAL3ST1"
"688","GAL3ST4"
"689","GALE"
"690","GALM"
"691","GALNT3"
"692","GALNT4"
"693","GALNT5"
"694","GAPDHP35"
"695","GATAD1"
"696","GBA3"
"697","GBAS"
"698","GBE1"
"699","GBP1"
"700","GBP2"
"701","GBP3"
"702","GBP5"
"703","GCA"
"704","GCC2"
"705","GCKR"
"706","GCNT1"
"707","GCNT2"
"708","GCNT3"
"709","GCNT4"
"710","GDNF"
"711","GDPD3"
"712","GFPT1"
"713","GGN"
"714","GGT1"
"715","GGT5"
"716","GHDC"
"717","GIPC3"
"718","GIPR"
"719","GJB1"
"720","GJC2"
"721","GK"
"722","GLIS3"
"723","GLRX"
"724","GLTPD2"
"725","GLUD1"
"726","GNA15"
"727","GNAI3"
"728","GNAS"
"729","GNG5"
"730","GNG8"
"731","GOLGA4"
"732","GOLGA6L10"
"733","GOLGA6L5P"
"734","GOLM1"
"735","GOLPH3"
"736","GOLPH3L"
"737","GP2"
"738","GPA33"
"739","GPBAR1"
"740","GPD1"
"741","GPER1"
"742","GPI"
"743","GPR132"
"744","GPR160"
"745","GPR183"
"746","GPR20"
"747","GPR37L1"
"748","GPRC5A"
"749","GPRIN2"
"750","GPSM3"
"751","GPT"
"752","GPX3"
"753","GRB7"
"754","GREM2"
"755","GRIA4"
"756","GRIN2D"
"757","GRIP2"
"758","GRSF1"
"759","GSAP"
"760","GSDMB"
"761","GSG1"
"762","GSTO1"
"763","GTF2H2B"
"764","GTPBP2"
"765","GUCA1A"
"766","GUCA2A"
"767","GUCA2B"
"768","GUCY1A2"
"769","GUCY1B3"
"770","GYG2"
"771","GYS1"
"772","HACD4"
"773","HACL1"
"774","HAND1"
"775","HAND2"
"776","HAPLN4"
"777","HAS3"
"778","HAVCR1"
"779","HBBP1"
"780","HBD"
"781","HBG2"
"782","HCAR1"
"783","HCAR3"
"784","HDAC6"
"785","HDGF"
"786","HEBP2"
"787","HELB"
"788","HELZ2"
"789","HHIPL1"
"790","HHLA1"
"791","HHLA2"
"792","HIF3A"
"793","HILPDA"
"794","HIST1H1C"
"795","HK2"
"796","HKDC1"
"797","HLA-DMA"
"798","HLA-DQB1"
"799","HLA-DRB1"
"800","HLA-DRB3"
"801","HLA-DRB5"
"802","HLA-E"
"803","HLA-F"
"804","HLA-V"
"805","HMBOX1"
"806","HMGA2"
"807","HMGCL"
"808","HMGCR"
"809","HMGCS1"
"810","HMGCS2"
"811","HMGN2P46"
"812","HNF4G"
"813","HNMT"
"814","HOMEZ"
"815","HOXA11"
"816","HOXD10"
"817","HPCAL1"
"818","HPGD"
"819","HPN"
"820","HRASLS2"
"821","HSBP1"
"822","HSBP1L1"
"823","HSD17B12"
"824","HSD17B14"
"825","HSD17B7"
"826","HSD17B8"
"827","HSH2D"
"828","HSP90AB1"
"829","HSP90B1"
"830","HSPA2"
"831","HSPA5"
"832","HSPB1"
"833","HSPB6"
"834","HSPB8"
"835","HTR1B"
"836","HTRA3"
"837","HYAL1"
"838","IARS2"
"839","IBTK"
"840","ICAM1"
"841","IDH2"
"842","IDI1"
"843","IDO1"
"844","IER3"
"845","IFIH1"
"846","IFITM1"
"847","IFITM2"
"848","IFITM3"
"849","IFNAR2"
"850","IFNGR2"
"851","IFT172"
"852","IGDCC3"
"853","IGDCC4"
"854","IGF2BP2"
"855","IGFBP2"
"856","IGFBP3"
"857","IGLON5"
"858","IGSF1"
"859","IGSF23"
"860","IL10RB"
"861","IL11"
"862","IL15"
"863","IL17RE"
"864","IL17REL"
"865","IL2RB"
"866","IL2RG"
"867","IL32"
"868","IL34"
"869","IL36G"
"870","IL37"
"871","IL4R"
"872","IL7R"
"873","ILK"
"874","INHA"
"875","INMT"
"876","INO80C"
"877","INSIG1"
"878","INSIG2"
"879","INTS6L"
"880","IPMK"
"881","IQGAP1"
"882","IQSEC2"
"883","IQSEC3"
"884","IRF2BP2"
"885","IRF6"
"886","IRF7"
"887","IRF9"
"888","ISG20"
"889","ISM2"
"890","ITGA5"
"891","ITGB2"
"892","ITIH3"
"893","ITPR3"
"894","ITSN1"
"895","IYD"
"896","JADE2"
"897","JAML"
"898","JAZF1"
"899","JMJD1C"
"900","JPH2"
"901","JUNB"
"902","JUP"
"903","KALRN"
"904","KANK1"
"905","KAZN"
"906","KBTBD3"
"907","KCNH2"
"908","KCNH8"
"909","KCNJ13"
"910","KCNJ16"
"911","KCNN4"
"912","KCNQ4"
"913","KCTD9"
"914","KDELR1"
"915","KDELR2"
"916","KDM2A"
"917","KDM3A"
"918","KDM4B"
"919","KDM4C"
"920","KDM5B"
"921","KDM6A"
"922","KIAA1217"
"923","KIF12"
"924","KIF16B"
"925","KISS1R"
"926","KIT"
"927","KITLG"
"928","KLF11"
"929","KLF3"
"930","KLF6"
"931","KLF9"
"932","KLHDC7A"
"933","KLHL2P1"
"934","KLHL3"
"935","KLK1"
"936","KMT5B"
"937","KRT20"
"938","KRTAP5-10"
"939","L1TD1"
"940","LACE1"
"941","LAMA1"
"942","LAMA5"
"943","LAPTM5"
"944","LASP1"
"945","LCK"
"946","LCN12"
"947","LDHA"
"948","LDHD"
"949","LEFTY1"
"950","LEMD1"
"951","LENG9"
"952","LGALS14"
"953","LGALS2"
"954","LGALS9B"
"955","LGALS9C"
"956","LGALSL"
"957","LGI4"
"958","LIMA1"
"959","LIMS1"
"960","LIMS2"
"961","LINC01619"
"962","LINGO1"
"963","LIPC"
"964","LITAF"
"965","LIX1"
"966","LMAN1"
"967","LMNTD2"
"968","LMO4"
"969","LMOD1"
"970","LNX1"
"971","LNX2"
"972","LOX"
