well,plate,treatment,day,plate_pos,broth_pos,censor,dead,bd1,bd2,il6,il8,vegf,sterile_d9_0
A3,2,E. coli,2,0,0,0,0,728.34,3290.91,47.34,2197,1772.58,1
B3,2,E. coli,2,0,0,0,0,21.02,706.58,113.05,884.16,915.81,0
C3,2,E. coli,2,0,0,0,0,50.63,332.65,36.9,232.41,1168.31,0
D3,2,E. coli,2,0,0,0,0,11.4,10.28,7.71,205.37,543.06,0
A4,2,E. coli,2,0,0,0,0,70.13,462.22,4.3,114.31,1329.36,0
B4,2,E. coli,2,0,0,0,0,26.75,1708.6,115.76,4042.24,256.36,0
C4,2,E. coli,2,0,0,0,0,39.55,303.22,8.85,377.77,565.35,0
D4,2,E. coli,2,0,0,0,0,11.42,672.68,69.63,2008.4,482.21,0
A5,2,E. coli,2,0,0,0,0,49.42,419.46,111.51,5524.63,927.63,1
B5,2,E. coli,2,0,0,0,0,19.01,1267.15,87.73,4890.16,261.69,0
C5,2,E. coli,2,0,0,0,0,23.38,332.58,3.17,114.3,570.98,0
D5,2,E. coli,2,0,0,0,0,55.39,175.73,99.8,1150.76,2453.75,1
A6,2,E. coli,2,0,0,0,0,21.9,202.48,1.76,88.41,1101.55,0
B6,2,E. coli,2,0,0,0,0,112.78,207.57,46.37,6191.25,869.11,0
C6,2,E. coli,2,0,0,0,0,50.63,429.69,92.44,1348.43,1674.03,0
D6,2,E. coli,2,0,0,0,0,6.7,1016.56,164.23,2379.46,1436,0
1,3,PBS,2,0,0,0,0,117.44,0,1.2,157.48,194.73,0
2,3,PBS,2,0,0,0,0,89.31,0,1.2,279.21,147.88,0
3,3,PBS,2,0,0,0,0,58.41,0,1.76,63.9,449.31,0
4,3,PBS,2,0,0,0,0,62.44,0,1.76,126.01,482.21,0
A1,1,E. coli,3,0,0,0,0,14.37,225.35,39.71,268.62,1753.81,0
B1,1,E. coli,3,0,0,0,0,44.16,0,39.71,939.97,678.13,0
C1,1,E. coli,3,0,0,0,0,27.22,0,2.89,97.45,752.62,0
D1,1,E. coli,3,0,0,0,0,29.12,29.72,2.6,153.5,449.29,0
A2,1,E. coli,3,0,0,0,0,80.23,194.02,12.31,280.62,1385.47,0
B2,1,E. coli,3,0,0,0,0,7.16,0,70.53,638.85,261.88,0
C2,1,E. coli,3,0,0,0,0,23.83,0,2.6,72.92,781.41,0
D2,1,E. coli,3,0,0,0,0,11.66,449.76,9.72,968,632.88,1
A3,1,E. coli,3,0,0,0,0,9.18,112.83,50.54,1781.36,1156.04,0
B3,1,E. coli,3,0,0,0,0,16.11,240.78,14.92,276.43,1248.2,0
C3,1,E. coli,3,0,0,0,0,60.62,0,1.76,276.43,261.61,0
D3,1,E. coli,3,0,0,0,0,1798.11,177.89,4.86,1370.52,235.49,0
A4,1,E. coli,3,0,0,0,0,57.11,2010.22,746.36,5500.3,1792.58,1
B4,1,E. coli,3,0,0,0,0,5.22,0,20.51,355.98,554.26,0
C4,1,E. coli,3,0,0,0,0,25.97,0,1.2,244.7,303.83,0
D4,1,E. coli,3,0,0,0,0,2032.93,498.36,2.89,1380.44,319.82,0
A5,1,E. coli,3,0,0,0,0,327.88,916.93,187.22,10503.05,2192.8,0
B5,1,E. coli,3,0,0,0,0,138.88,95.58,46.68,1923.21,416.64,0
C5,1,E. coli,3,0,0,0,0,28.33,0,4.86,577.28,504.26,0
D5,1,E. coli,3,0,0,0,0,322.44,762.45,4.86,3240.68,293.39,0
A6,1,E. coli,3,0,0,0,0,19.87,113.54,129.99,1059.81,718.08,0
B6,1,E. coli,3,0,0,0,0,31.74,443.95,103.91,4756.95,587.8,0
C6,1,E. coli,3,0,0,0,0,14.1,0,4.02,67.76,422.03,0
D6,1,E. coli,3,1,1,0,1,20.03,236.39,26.79,597.01,335.85,1
A1,2,E. coli,3,0,0,0,0,449.04,544.79,138.97,4203.24,1041.2,1
B1,2,E. coli,3,0,1,0,1,6.93,134.02,85.94,1398.61,1052.94,1
C1,2,E. coli,3,1,1,0,1,5.67,1710.48,241.94,1089.64,314.48,1
