 ,Label,Area,Mean,Min,Max,Median
278,160929_03_R3D_xx_523_xx_t001.tif,197830,63.049623414,50,82,65
279,160929_05_R3D_xx_523_xx_t054.tif,326528,58.952089867,50,78,58
280,160929_17_R3D_xx_523_xx_t082.tif,445085,61.105101273,50,79,61
281,160929_25_R3D_xx_523_xx_t005.tif,370263,56.738850493,50,73,56
282,160929_17_R3D_xx_523_xx_t062.tif,466343,63.600656598,50,81,64
283,160929_15_R3D_xx_523_xx_t018.tif,75951,66.487959342,50,82,68
284,160929_26_R3D_xx_523_xx_t140.tif,47569,58.562362043,50,74,59
285,160929_27_R3D_xx_523_xx_t118.tif,418828,58.255474801,50,74,58
286,160929_03_R3D_xx_523_xx_t074.tif,48305,58.592878584,50,72,59
287,160929_28_R3D_xx_523_xx_t046.tif,324982,61.882679656,50,83,62
288,160929_14_R3D_xx_523_xx_t068.tif,416992,63.372386041,50,79,64
289,160929_22_R3D_xx_523_xx_t052.tif,624818,67.618189617,50,84,69
290,160929_09_R3D_xx_523_xx_t067.tif,0,NaN,255,32,255
291,160929_22_R3D_xx_523_xx_t028.tif,595397,65.607908673,50,80,67
292,160929_06_R3D_xx_523_xx_t139.tif,6316,50.821405953,50,56,50
293,160929_03_R3D_xx_523_xx_t046.tif,82058,55.610958103,50,69,55
294,160929_31_R3D_xx_523_xx_t042.tif,0,NaN,255,18,255
295,160929_29_R3D_xx_523_xx_t084.tif,354800,63.480293123,50,82,65
296,160929_30_R3D_xx_523_xx_t032.tif,305674,62.194210172,50,80,63
297,160929_15_R3D_xx_523_xx_t086.tif,79279,61.024357018,50,77,62
298,160929_08_R3D_xx_523_xx_t079.tif,0,NaN,255,12,255
299,160929_25_R3D_xx_523_xx_t107.tif,278064,53.826396081,50,65,54
300,160929_07_R3D_xx_523_xx_t104.tif,108657,63.079654325,50,84,64
301,160929_03_R3D_xx_523_xx_t097.tif,45936,58.263061651,50,74,59
302,160929_02_R3D_xx_523_xx_t074.tif,12,50.333333333,50,52,50
303,160929_25_R3D_xx_523_xx_t037.tif,562744,61.956438452,50,82,62
304,160929_18_R3D_xx_523_xx_t007.tif,508300,60.144298643,50,76,60
305,160929_12_R3D_xx_523_xx_t106.tif,277493,58.647273985,50,74,59
306,160929_25_R3D_xx_523_xx_t081.tif,459047,57.627998876,50,74,57
307,160929_20_R3D_xx_523_xx_t005.tif,416528,62.787133158,50,78,64
308,160929_18_R3D_xx_523_xx_t039.tif,565420,64.607102685,50,81,65
309,160929_03_R3D_xx_523_xx_t039.tif,87473,55.782504316,50,69,56
310,160929_26_R3D_xx_523_xx_t002.tif,203693,61.677519601,50,82,61
311,160929_09_R3D_xx_523_xx_t093.tif,0,NaN,255,35,255
312,160929_21_R3D_xx_523_xx_t076.tif,549506,68.316875521,50,82,69
313,160929_01_R3D_xx_523_xx_t112.tif,0,NaN,255,15,255
314,160929_29_R3D_xx_523_xx_t053.tif,361187,64.741449720,50,83,66
315,160929_20_R3D_xx_523_xx_t074.tif,407558,67.534701809,50,83,70
316,160929_16_R3D_xx_523_xx_t100.tif,421432,58.900861823,50,74,59
317,160929_01_R3D_xx_523_xx_t051.tif,0,NaN,255,45,255
318,160929_16_R3D_xx_523_xx_t098.tif,427845,59.234143206,50,76,59
319,160929_21_R3D_xx_523_xx_t084.tif,546303,67.360572796,50,82,68
320,160929_23_R3D_xx_523_xx_t141.tif,559305,59.440811364,50,71,61
321,160929_14_R3D_xx_523_xx_t026.tif,348850,60.314246811,50,74,61
322,160929_11_R3D_xx_523_xx_t133.tif,112624,54.458117275,50,65,54
323,160929_28_R3D_xx_523_xx_t097.tif,315714,62.564453904,50,81,63
324,160929_21_R3D_xx_523_xx_t090.tif,550570,68.877890187,50,83,70
325,160929_27_R3D_xx_523_xx_t126.tif,388859,57.578147863,50,73,57
326,160929_14_R3D_xx_523_xx_t139.tif,363952,57.821531411,50,72,58
327,160929_06_R3D_xx_523_xx_t008.tif,159635,55.490481411,50,70,55
328,160929_06_R3D_xx_523_xx_t136.tif,77287,54.024583695,50,68,54
329,160929_13_R3D_xx_523_xx_t071.tif,316471,60.944086504,50,80,61
330,160929_23_R3D_xx_523_xx_t073.tif,623418,66.035486624,50,80,68
331,160929_19_R3D_xx_523_xx_t035.tif,488696,66.491076252,50,83,67
332,160929_15_R3D_xx_523_xx_t043.tif,82731,66.244334046,50,83,68
333,160929_16_R3D_xx_523_xx_t081.tif,472143,62.181123092,50,80,63
334,160929_28_R3D_xx_523_xx_t019.tif,286975,59.784618869,50,81,60
335,160929_18_R3D_xx_523_xx_t108.tif,570255,61.796685693,50,78,62
336,160929_23_R3D_xx_523_xx_t104.tif,595385,62.270104218,50,74,64
337,160929_14_R3D_xx_523_xx_t135.tif,362111,57.639223884,50,71,58
